country,year,dimension,indicator,score,source_type,data_status
peru,2001,economic,trade_openness,39.5,quantitative,complete
peru,2001,economic,fiscal_health,79.5,quantitative,complete
peru,2001,economic,_dimension_score,77.7,aggregated,derived
peru,2001,international,sanctions,95,qualitative,complete
peru,2001,international,diplomatic_integration,95,qualitative,complete
peru,2001,international,foreign_military,80,qualitative,complete
peru,2001,international,fdi,59.5,quantitative,complete
peru,2001,international,refugee_flows,79.5,quantitative,complete
peru,2001,international,_dimension_score,81.8,aggregated,derived
peru,2001,transparency,budget_transparency,29.5,quantitative,partial
peru,2001,transparency,press_freedom,47.0,quantitative,partial
peru,2001,transparency,statistical_transparency,69.5,quantitative,partial
peru,2001,transparency,legal_transparency,4.5,quantitative,partial
peru,2001,transparency,_dimension_score,37.6,aggregated,derived
peru,2001,_composite,_composite_score,67.0,aggregated,derived
peru,2002,political,territorial_control,95,qualitative,complete
peru,2002,political,political_violence,95.0,quantitative,complete
peru,2002,political,institutional_functioning,80,qualitative,complete
peru,2002,political,civil_liberties,4.5,quantitative,complete
peru,2002,political,elite_cohesion,60,qualitative,complete
peru,2002,political,_dimension_score,66.9,aggregated,derived
peru,2002,economic,gdp_per_capita,95.0,quantitative,complete
peru,2002,economic,inflation,95.0,quantitative,complete
peru,2002,economic,unemployment,79.5,quantitative,complete
peru,2002,economic,trade_openness,39.5,quantitative,complete
peru,2002,economic,fiscal_health,79.5,quantitative,complete
peru,2002,economic,_dimension_score,77.7,aggregated,derived
peru,2002,international,sanctions,95,qualitative,complete
peru,2002,international,diplomatic_integration,95,qualitative,complete
peru,2002,international,foreign_military,80,qualitative,complete
peru,2002,international,fdi,79.5,quantitative,complete
peru,2002,international,refugee_flows,79.5,quantitative,complete
peru,2002,international,_dimension_score,85.8,aggregated,derived
peru,2002,transparency,budget_transparency,49.5,quantitative,partial
peru,2002,transparency,press_freedom,27.0,quantitative,complete
peru,2002,transparency,statistical_transparency,69.5,quantitative,partial
peru,2002,transparency,legal_transparency,4.5,quantitative,partial
peru,2002,transparency,_dimension_score,37.6,aggregated,derived
peru,2002,_composite,_composite_score,67.0,aggregated,derived
peru,2003,political,territorial_control,95,qualitative,complete
peru,2003,political,political_violence,95.0,quantitative,complete
peru,2003,political,institutional_functioning,80,qualitative,complete
peru,2003,political,civil_liberties,4.5,quantitative,complete
peru,2003,political,elite_cohesion,60,qualitative,complete
peru,2003,political,_dimension_score,66.9,aggregated,derived
peru,2003,economic,gdp_per_capita,95.0,quantitative,complete
peru,2003,economic,inflation,95.0,quantitative,complete
peru,2003,economic,unemployment,79.5,quantitative,complete
peru,2003,economic,trade_openness,39.5,quantitative,complete
peru,2003,economic,fiscal_health,79.5,quantitative,complete
peru,2003,economic,_dimension_score,77.7,aggregated,derived
peru,2003,international,sanctions,95,qualitative,complete
peru,2003,international,diplomatic_integration,95,qualitative,complete
peru,2003,international,foreign_military,80,qualitative,complete
peru,2003,international,fdi,79.5,quantitative,complete
peru,2003,international,refugee_flows,79.5,quantitative,complete
peru,2003,international,_dimension_score,85.8,aggregated,derived
peru,2003,transparency,budget_transparency,49.5,quantitative,partial
peru,2003,transparency,press_freedom,27.0,quantitative,complete
peru,2003,transparency,statistical_transparency,69.5,quantitative,partial
peru,2003,transparency,legal_transparency,4.5,quantitative,partial
peru,2003,transparency,_dimension_score,37.6,aggregated,derived
peru,2003,_composite,_composite_score,67.0,aggregated,derived
peru,2004,political,territorial_control,95,qualitative,complete
peru,2004,political,political_violence,95.0,quantitative,complete
peru,2004,political,institutional_functioning,80,qualitative,complete
peru,2004,political,civil_liberties,4.5,quantitative,complete
peru,2004,political,elite_cohesion,60,qualitative,complete
peru,2004,political,_dimension_score,66.9,aggregated,derived
peru,2004,economic,gdp_per_capita,95.0,quantitative,complete
peru,2004,economic,inflation,79.5,quantitative,complete
peru,2004,economic,unemployment,79.5,quantitative,complete
peru,2004,economic,trade_openness,39.5,quantitative,complete
peru,2004,economic,fiscal_health,79.5,quantitative,complete
peru,2004,economic,_dimension_score,74.6,aggregated,derived
peru,2004,international,sanctions,95,qualitative,complete
peru,2004,international,diplomatic_integration,95,qualitative,complete
peru,2004,international,foreign_military,80,qualitative,complete
peru,2004,international,fdi,79.5,quantitative,complete
peru,2004,international,refugee_flows,79.5,quantitative,complete
peru,2004,international,_dimension_score,85.8,aggregated,derived
peru,2004,transparency,budget_transparency,49.5,quantitative,partial
peru,2004,transparency,press_freedom,27.0,quantitative,complete
peru,2004,transparency,statistical_transparency,69.5,quantitative,complete
peru,2004,transparency,legal_transparency,4.5,quantitative,partial
peru,2004,transparency,_dimension_score,37.6,aggregated,derived
peru,2004,_composite,_composite_score,66.2,aggregated,derived
peru,2005,political,territorial_control,80,qualitative,complete
peru,2005,political,political_violence,95.0,quantitative,complete
peru,2005,political,institutional_functioning,80,qualitative,complete
peru,2005,political,civil_liberties,4.5,quantitative,complete
peru,2005,political,elite_cohesion,60,qualitative,complete
peru,2005,political,_dimension_score,63.9,aggregated,derived
peru,2005,economic,gdp_per_capita,95.0,quantitative,complete
peru,2005,economic,inflation,95.0,quantitative,complete
peru,2005,economic,unemployment,79.5,quantitative,complete
peru,2005,economic,trade_openness,59.5,quantitative,complete
peru,2005,economic,fiscal_health,79.5,quantitative,complete
peru,2005,economic,_dimension_score,81.7,aggregated,derived
peru,2005,international,sanctions,95,qualitative,complete
peru,2005,international,diplomatic_integration,95,qualitative,complete
peru,2005,international,foreign_military,80,qualitative,complete
peru,2005,international,fdi,79.5,quantitative,complete
peru,2005,international,refugee_flows,79.5,quantitative,complete
peru,2005,international,_dimension_score,85.8,aggregated,derived
peru,2005,transparency,budget_transparency,49.5,quantitative,partial
peru,2005,transparency,press_freedom,27.0,quantitative,complete
peru,2005,transparency,statistical_transparency,69.5,quantitative,complete
peru,2005,transparency,legal_transparency,4.5,quantitative,partial
peru,2005,transparency,_dimension_score,37.6,aggregated,derived
peru,2005,_composite,_composite_score,67.2,aggregated,derived
peru,2006,political,territorial_control,95,qualitative,complete
peru,2006,political,political_violence,95.0,quantitative,complete
peru,2006,political,institutional_functioning,80,qualitative,complete
peru,2006,political,civil_liberties,4.5,quantitative,complete
peru,2006,political,elite_cohesion,80,qualitative,complete
peru,2006,political,_dimension_score,70.9,aggregated,derived
peru,2006,economic,gdp_per_capita,95.0,quantitative,complete
peru,2006,economic,inflation,95.0,quantitative,complete
peru,2006,economic,unemployment,79.5,quantitative,complete
peru,2006,economic,trade_openness,59.5,quantitative,complete
peru,2006,economic,fiscal_health,79.5,quantitative,complete
peru,2006,economic,_dimension_score,81.7,aggregated,derived
peru,2006,international,sanctions,95,qualitative,complete
peru,2006,international,diplomatic_integration,95,qualitative,complete
peru,2006,international,foreign_military,80,qualitative,complete
peru,2006,international,fdi,79.5,quantitative,complete
peru,2006,international,refugee_flows,79.5,quantitative,complete
peru,2006,international,_dimension_score,85.8,aggregated,derived
peru,2006,transparency,budget_transparency,69.5,quantitative,complete
peru,2006,transparency,press_freedom,27.0,quantitative,complete
peru,2006,transparency,statistical_transparency,69.5,quantitative,complete
peru,2006,transparency,legal_transparency,4.5,quantitative,partial
peru,2006,transparency,_dimension_score,42.6,aggregated,derived
peru,2006,_composite,_composite_score,70.2,aggregated,derived
peru,2007,political,territorial_control,95,qualitative,complete
peru,2007,political,political_violence,95.0,quantitative,complete
peru,2007,political,institutional_functioning,80,qualitative,complete
peru,2007,political,civil_liberties,4.5,quantitative,complete
peru,2007,political,elite_cohesion,80,qualitative,complete
peru,2007,political,_dimension_score,70.9,aggregated,derived
peru,2007,economic,gdp_per_capita,95.0,quantitative,complete
peru,2007,economic,inflation,95.0,quantitative,complete
peru,2007,economic,unemployment,79.5,quantitative,complete
peru,2007,economic,trade_openness,59.5,quantitative,complete
peru,2007,economic,fiscal_health,95.0,quantitative,complete
peru,2007,economic,_dimension_score,84.8,aggregated,derived
peru,2007,international,sanctions,95,qualitative,complete
peru,2007,international,diplomatic_integration,95,qualitative,complete
peru,2007,international,foreign_military,80,qualitative,complete
peru,2007,international,fdi,79.5,quantitative,complete
peru,2007,international,refugee_flows,79.5,quantitative,complete
peru,2007,international,_dimension_score,85.8,aggregated,derived
peru,2007,transparency,budget_transparency,69.5,quantitative,partial
peru,2007,transparency,press_freedom,27.0,quantitative,complete
peru,2007,transparency,statistical_transparency,69.5,quantitative,complete
peru,2007,transparency,legal_transparency,4.5,quantitative,partial
peru,2007,transparency,_dimension_score,42.6,aggregated,derived
peru,2007,_composite,_composite_score,71.0,aggregated,derived
peru,2008,political,territorial_control,95,qualitative,complete
peru,2008,political,political_violence,95.0,quantitative,complete
peru,2008,political,institutional_functioning,80,qualitative,complete
peru,2008,political,civil_liberties,4.5,quantitative,complete
peru,2008,political,elite_cohesion,60,qualitative,complete
peru,2008,political,_dimension_score,66.9,aggregated,derived
peru,2008,economic,gdp_per_capita,95.0,quantitative,complete
peru,2008,economic,inflation,79.5,quantitative,complete
peru,2008,economic,unemployment,79.5,quantitative,complete
peru,2008,economic,trade_openness,59.5,quantitative,complete
peru,2008,economic,fiscal_health,95.0,quantitative,complete
peru,2008,economic,_dimension_score,81.7,aggregated,derived
peru,2008,international,sanctions,95,qualitative,complete
peru,2008,international,diplomatic_integration,95,qualitative,complete
peru,2008,international,foreign_military,80,qualitative,complete
peru,2008,international,fdi,95.0,quantitative,complete
peru,2008,international,refugee_flows,79.5,quantitative,complete
peru,2008,international,_dimension_score,88.9,aggregated,derived
peru,2008,transparency,budget_transparency,69.5,quantitative,complete
peru,2008,transparency,press_freedom,47.0,quantitative,complete
peru,2008,transparency,statistical_transparency,69.5,quantitative,complete
peru,2008,transparency,legal_transparency,4.5,quantitative,partial
peru,2008,transparency,_dimension_score,47.6,aggregated,derived
peru,2008,_composite,_composite_score,71.3,aggregated,derived
peru,2009,political,territorial_control,80,qualitative,complete
peru,2009,political,political_violence,95.0,quantitative,complete
peru,2009,political,institutional_functioning,80,qualitative,complete
peru,2009,political,civil_liberties,4.5,quantitative,complete
peru,2009,political,elite_cohesion,40,qualitative,complete
peru,2009,political,_dimension_score,59.9,aggregated,derived
peru,2009,economic,gdp_per_capita,95.0,quantitative,complete
peru,2009,economic,inflation,95.0,quantitative,complete
peru,2009,economic,unemployment,79.5,quantitative,complete
peru,2009,economic,trade_openness,59.5,quantitative,complete
peru,2009,economic,fiscal_health,95.0,quantitative,complete
peru,2009,economic,_dimension_score,84.8,aggregated,derived
peru,2009,international,sanctions,95,qualitative,complete
peru,2009,international,diplomatic_integration,80,qualitative,complete
peru,2009,international,foreign_military,80,qualitative,complete
peru,2009,international,fdi,79.5,quantitative,complete
peru,2009,international,refugee_flows,79.5,quantitative,complete
peru,2009,international,_dimension_score,82.8,aggregated,derived
peru,2009,transparency,budget_transparency,69.5,quantitative,partial
peru,2009,transparency,press_freedom,47.0,quantitative,complete
peru,2009,transparency,statistical_transparency,69.5,quantitative,complete
peru,2009,transparency,legal_transparency,4.5,quantitative,partial
peru,2009,transparency,_dimension_score,47.6,aggregated,derived
peru,2009,_composite,_composite_score,68.8,aggregated,derived
peru,2010,political,territorial_control,80,qualitative,complete
peru,2010,political,political_violence,95.0,quantitative,complete
peru,2010,political,institutional_functioning,80,qualitative,complete
peru,2010,political,civil_liberties,4.5,quantitative,complete
peru,2010,political,elite_cohesion,60,qualitative,complete
peru,2010,political,_dimension_score,63.9,aggregated,derived
peru,2010,economic,gdp_per_capita,95.0,quantitative,complete
peru,2010,economic,inflation,95.0,quantitative,complete
peru,2010,economic,unemployment,79.5,quantitative,complete
peru,2010,economic,trade_openness,59.5,quantitative,complete
peru,2010,economic,fiscal_health,95.0,quantitative,complete
peru,2010,economic,_dimension_score,84.8,aggregated,derived
peru,2010,international,sanctions,95,qualitative,complete
peru,2010,international,diplomatic_integration,95,qualitative,complete
peru,2010,international,foreign_military,80,qualitative,complete
peru,2010,international,fdi,95.0,quantitative,complete
peru,2010,international,refugee_flows,79.5,quantitative,complete
peru,2010,international,_dimension_score,88.9,aggregated,derived
peru,2010,transparency,budget_transparency,69.5,quantitative,complete
peru,2010,transparency,press_freedom,47.0,quantitative,complete
peru,2010,transparency,statistical_transparency,69.5,quantitative,complete
peru,2010,transparency,legal_transparency,4.5,quantitative,partial
peru,2010,transparency,_dimension_score,47.6,aggregated,derived
peru,2010,_composite,_composite_score,71.3,aggregated,derived
peru,2011,political,territorial_control,80,qualitative,complete
peru,2011,political,political_violence,95.0,quantitative,complete
peru,2011,political,institutional_functioning,80,qualitative,complete
peru,2011,political,civil_liberties,4.5,quantitative,complete
peru,2011,political,elite_cohesion,60,qualitative,complete
peru,2011,political,_dimension_score,63.9,aggregated,derived
peru,2011,economic,gdp_per_capita,95.0,quantitative,complete
peru,2011,economic,inflation,79.5,quantitative,complete
peru,2011,economic,unemployment,79.5,quantitative,complete
peru,2011,economic,trade_openness,59.5,quantitative,complete
peru,2011,economic,fiscal_health,95.0,quantitative,complete
peru,2011,economic,_dimension_score,81.7,aggregated,derived
peru,2011,international,sanctions,95,qualitative,complete
peru,2011,international,diplomatic_integration,95,qualitative,complete
peru,2011,international,foreign_military,80,qualitative,complete
peru,2011,international,fdi,79.5,quantitative,complete
peru,2011,international,refugee_flows,79.5,quantitative,complete
peru,2011,international,_dimension_score,85.8,aggregated,derived
peru,2011,transparency,budget_transparency,69.5,quantitative,partial
peru,2011,transparency,press_freedom,47.0,quantitative,complete
peru,2011,transparency,statistical_transparency,69.5,quantitative,complete
peru,2011,transparency,legal_transparency,4.5,quantitative,complete
peru,2011,transparency,_dimension_score,47.6,aggregated,derived
peru,2011,_composite,_composite_score,69.8,aggregated,derived
peru,2012,political,territorial_control,80,qualitative,complete
peru,2012,political,political_violence,95.0,quantitative,complete
peru,2012,political,institutional_functioning,80,qualitative,complete
peru,2012,political,civil_liberties,4.5,quantitative,complete
peru,2012,political,elite_cohesion,40,qualitative,complete
peru,2012,political,_dimension_score,59.9,aggregated,derived
peru,2012,economic,gdp_per_capita,95.0,quantitative,complete
peru,2012,economic,inflation,79.5,quantitative,complete
peru,2012,economic,unemployment,79.5,quantitative,complete
peru,2012,economic,trade_openness,59.5,quantitative,complete
peru,2012,economic,fiscal_health,95.0,quantitative,complete
peru,2012,economic,_dimension_score,81.7,aggregated,derived
peru,2012,international,sanctions,95,qualitative,complete
peru,2012,international,diplomatic_integration,95,qualitative,complete
peru,2012,international,foreign_military,80,qualitative,complete
peru,2012,international,fdi,95.0,quantitative,complete
peru,2012,international,refugee_flows,79.5,quantitative,complete
peru,2012,international,_dimension_score,88.9,aggregated,derived
peru,2012,transparency,budget_transparency,69.5,quantitative,complete
peru,2012,transparency,press_freedom,47.0,quantitative,complete
peru,2012,transparency,statistical_transparency,69.5,quantitative,complete
peru,2012,transparency,legal_transparency,4.5,quantitative,complete
peru,2012,transparency,_dimension_score,47.6,aggregated,derived
peru,2012,_composite,_composite_score,69.5,aggregated,derived
peru,2013,political,territorial_control,80,qualitative,complete
peru,2013,political,political_violence,95.0,quantitative,complete
peru,2013,political,institutional_functioning,80,qualitative,complete
peru,2013,political,civil_liberties,4.5,quantitative,complete
peru,2013,political,elite_cohesion,60,qualitative,complete
peru,2013,political,_dimension_score,63.9,aggregated,derived
peru,2013,economic,gdp_per_capita,95.0,quantitative,complete
peru,2013,economic,inflation,95.0,quantitative,complete
peru,2013,economic,unemployment,79.5,quantitative,complete
peru,2013,economic,trade_openness,59.5,quantitative,complete
peru,2013,economic,fiscal_health,95.0,quantitative,complete
peru,2013,economic,_dimension_score,84.8,aggregated,derived
peru,2013,international,sanctions,95,qualitative,complete
peru,2013,international,diplomatic_integration,95,qualitative,complete
peru,2013,international,foreign_military,80,qualitative,complete
peru,2013,international,fdi,95.0,quantitative,complete
peru,2013,international,refugee_flows,79.5,quantitative,complete
peru,2013,international,_dimension_score,88.9,aggregated,derived
peru,2013,transparency,budget_transparency,69.5,quantitative,partial
peru,2013,transparency,press_freedom,27.0,quantitative,complete
peru,2013,transparency,statistical_transparency,69.5,quantitative,complete
peru,2013,transparency,legal_transparency,4.5,quantitative,complete
peru,2013,transparency,_dimension_score,42.6,aggregated,derived
peru,2013,_composite,_composite_score,70.0,aggregated,derived
peru,2014,political,territorial_control,80,qualitative,complete
peru,2014,political,political_violence,95.0,quantitative,complete
peru,2014,political,institutional_functioning,80,qualitative,complete
peru,2014,political,civil_liberties,4.5,quantitative,complete
peru,2014,political,elite_cohesion,60,qualitative,complete
peru,2014,political,_dimension_score,63.9,aggregated,derived
peru,2014,economic,gdp_per_capita,95.0,quantitative,complete
peru,2014,economic,inflation,79.5,quantitative,complete
peru,2014,economic,unemployment,79.5,quantitative,complete
peru,2014,economic,trade_openness,59.5,quantitative,complete
peru,2014,economic,fiscal_health,95.0,quantitative,complete
peru,2014,economic,_dimension_score,81.7,aggregated,derived
peru,2014,international,sanctions,95,qualitative,complete
peru,2014,international,diplomatic_integration,95,qualitative,complete
peru,2014,international,foreign_military,80,qualitative,complete
peru,2014,international,fdi,79.5,quantitative,complete
peru,2014,international,refugee_flows,79.5,quantitative,complete
peru,2014,international,_dimension_score,85.8,aggregated,derived
peru,2014,transparency,budget_transparency,69.5,quantitative,partial
peru,2014,transparency,press_freedom,47.0,quantitative,complete
peru,2014,transparency,statistical_transparency,69.5,quantitative,complete
peru,2014,transparency,legal_transparency,4.5,quantitative,complete
peru,2014,transparency,_dimension_score,47.6,aggregated,derived
peru,2014,_composite,_composite_score,69.8,aggregated,derived
peru,2015,political,territorial_control,95,qualitative,complete
peru,2015,political,political_violence,95.0,quantitative,complete
peru,2015,political,institutional_functioning,80,qualitative,complete
peru,2015,political,civil_liberties,4.5,quantitative,complete
peru,2015,political,elite_cohesion,60,qualitative,complete
peru,2015,political,_dimension_score,66.9,aggregated,derived
peru,2015,economic,gdp_per_capita,95.0,quantitative,complete
peru,2015,economic,inflation,79.5,quantitative,complete
peru,2015,economic,unemployment,79.5,quantitative,complete
peru,2015,economic,trade_openness,59.5,quantitative,complete
peru,2015,economic,fiscal_health,95.0,quantitative,complete
peru,2015,economic,_dimension_score,81.7,aggregated,derived
peru,2015,international,sanctions,95,qualitative,complete
peru,2015,international,diplomatic_integration,95,qualitative,complete
peru,2015,international,foreign_military,80,qualitative,complete
peru,2015,international,fdi,79.5,quantitative,complete
peru,2015,international,refugee_flows,79.5,quantitative,complete
peru,2015,international,_dimension_score,85.8,aggregated,derived
peru,2015,transparency,budget_transparency,69.5,quantitative,complete
peru,2015,transparency,press_freedom,47.0,quantitative,complete
peru,2015,transparency,statistical_transparency,69.5,quantitative,complete
peru,2015,transparency,legal_transparency,4.5,quantitative,complete
peru,2015,transparency,_dimension_score,47.6,aggregated,derived
peru,2015,_composite,_composite_score,70.5,aggregated,derived
peru,2016,political,territorial_control,95,qualitative,complete
peru,2016,political,political_violence,95.0,quantitative,complete
peru,2016,political,institutional_functioning,80,qualitative,complete
peru,2016,political,civil_liberties,4.5,quantitative,complete
peru,2016,political,elite_cohesion,40,qualitative,complete
peru,2016,political,_dimension_score,62.9,aggregated,derived
peru,2016,economic,gdp_per_capita,95.0,quantitative,complete
peru,2016,economic,inflation,79.5,quantitative,complete
peru,2016,economic,unemployment,79.5,quantitative,complete
peru,2016,economic,trade_openness,59.5,quantitative,complete
peru,2016,economic,fiscal_health,95.0,quantitative,complete
peru,2016,economic,_dimension_score,81.7,aggregated,derived
peru,2016,international,sanctions,95,qualitative,complete
peru,2016,international,diplomatic_integration,95,qualitative,complete
peru,2016,international,foreign_military,80,qualitative,complete
peru,2016,international,fdi,79.5,quantitative,complete
